student_id,full_name,join_year,gender,socioeconomic_cat,household_income,first_gen
S1000,Student 0,2023,F,mid,172548,0
S1001,Student 1,2022,M,mid,76122,0
S1002,Student 2,2023,F,high,53968,0
S1003,Student 3,2022,M,high,20806,0
S1004,Student 4,2023,M,high,80064,1
S1005,Student 5,2022,M,mid,84751,0
S1006,Student 6,2024,F,high,114839,0
S1007,Student 7,2022,M,high,250029,0
S1008,Student 8,2022,F,mid,61540,0
S1009,Student 9,2023,M,mid,53513,0
S1010,Student 10,2024,M,mid,48593,0
S1011,Student 11,2022,F,low,65762,0
S1012,Student 12,2022,F,high,21509,0
S1013,Student 13,2024,M,low,193003,0
S1014,Student 14,2022,F,low,22735,0
S1015,Student 15,2023,M,low,52699,0
S1016,Student 16,2022,F,low,60847,0
S1017,Student 17,2024,F,mid,112814,1
S1018,Student 18,2022,M,high,92448,0
S1019,Student 19,2024,F,mid,74265,0
S1020,Student 20,2022,F,mid,92730,0
S1021,Student 21,2024,F,mid,64691,0
S1022,Student 22,2024,F,high,49665,0
S1023,Student 23,2022,F,mid,61926,0
S1024,Student 24,2022,M,mid,79173,0
S1025,Student 25,2023,F,mid,23819,0
S1026,Student 26,2022,M,mid,71505,0
S1027,Student 27,2022,M,mid,46389,1
S1028,Student 28,2023,M,low,77545,0
S1029,Student 29,2022,F,mid,207636,0
S1030,Student 30,2023,M,high,138727,0
S1031,Student 31,2022,M,mid,40416,0
S1032,Student 32,2024,M,high,35712,0
S1033,Student 33,2022,F,mid,188346,0
S1034,Student 34,2022,M,mid,50756,1
S1035,Student 35,2023,F,low,38256,0
S1036,Student 36,2023,F,mid,74328,0
S1037,Student 37,2024,M,mid,76487,0
S1038,Student 38,2023,F,low,134104,0
S1039,Student 39,2024,F,low,36646,0
S1040,Student 40,2023,F,high,40269,0
S1041,Student 41,2022,M,low,29492,0
S1042,Student 42,2023,M,mid,91907,0
S1043,Student 43,2023,F,mid,235767,0
S1044,Student 44,2023,M,mid,23538,0
S1045,Student 45,2023,F,mid,57949,0
S1046,Student 46,2023,F,mid,119504,0
S1047,Student 47,2022,M,mid,65044,0
S1048,Student 48,2022,F,low,102273,0
S1049,Student 49,2022,M,mid,56503,0
S1050,Student 50,2022,M,high,47547,0
S1051,Student 51,2024,M,mid,87493,0
S1052,Student 52,2022,M,high,48283,0
S1053,Student 53,2023,M,mid,92891,0
S1054,Student 54,2023,M,mid,86317,0
S1055,Student 55,2023,M,mid,94405,0
S1056,Student 56,2024,M,low,44225,0
S1057,Student 57,2023,M,mid,45850,0
S1058,Student 58,2024,F,low,99386,0
S1059,Student 59,2024,M,mid,103278,0
S1060,Student 60,2023,M,mid,61780,0
S1061,Student 61,2023,M,low,26770,0
S1062,Student 62,2023,M,mid,179796,0
S1063,Student 63,2023,F,high,57558,0
S1064,Student 64,2023,F,high,33973,0
S1065,Student 65,2022,M,mid,46815,0
S1066,Student 66,2022,M,mid,45335,0
S1067,Student 67,2023,M,high,79928,1
S1068,Student 68,2022,F,mid,65769,0
S1069,Student 69,2024,M,low,68824,0
S1070,Student 70,2022,F,low,43229,0
S1071,Student 71,2024,M,low,76851,0
S1072,Student 72,2023,M,mid,37196,0
S1073,Student 73,2023,F,mid,51910,0
S1074,Student 74,2024,M,mid,31150,0
S1075,Student 75,2023,M,mid,108063,0
S1076,Student 76,2022,M,low,33673,0
S1077,Student 77,2024,F,low,82828,0
S1078,Student 78,2024,M,mid,57128,1
S1079,Student 79,2023,M,mid,179921,0
S1080,Student 80,2024,F,mid,76071,0
S1081,Student 81,2022,F,low,11344,0
S1082,Student 82,2024,M,high,17704,0
S1083,Student 83,2024,M,low,206632,0
S1084,Student 84,2022,M,low,161086,0
S1085,Student 85,2024,M,low,86425,0
S1086,Student 86,2022,M,mid,87021,0
S1087,Student 87,2024,M,high,60043,1
S1088,Student 88,2023,M,mid,76050,0
S1089,Student 89,2022,F,mid,31827,1
S1090,Student 90,2022,M,mid,55795,0
S1091,Student 91,2022,M,mid,74897,1
S1092,Student 92,2024,M,mid,55258,0
S1093,Student 93,2023,F,mid,114307,0
S1094,Student 94,2023,F,mid,36869,0
S1095,Student 95,2023,F,high,38896,0
S1096,Student 96,2023,F,high,56549,1
S1097,Student 97,2024,M,mid,52227,0
S1098,Student 98,2024,M,low,93743,0
S1099,Student 99,2023,F,mid,29337,0
S1100,Student 100,2022,M,high,48042,0
S1101,Student 101,2023,M,mid,161495,0
S1102,Student 102,2024,F,mid,39639,1
S1103,Student 103,2023,F,low,25673,0
